iso639_3,iso639_1,iso639_2t,iso639_2b,name_en,name_native,family,scope,type
aaa,,,,Ghotuo,,,I,L
aab,,,,Alumu-Tesu,,,I,L
aac,,,,Ari,,,I,L
aad,,,,Amal,,,I,L
aae,,,,Arbëreshë Albanian,,,I,L
aaf,,,,Aranadan,,,I,L
aag,,,,Ambrak,,,I,L
aah,,,,Abu' Arapesh,,,I,L
aai,,,,Arifama-Miniafia,,,I,L
aak,,,,Ankave,,,I,L
aal,,,,Afade,,,I,L
aan,,,,Anambé,,,I,L
aao,,,,Algerian Saharan Arabic,,,I,L
aap,,,,Pará Arára,,,I,L
aaq,,,,Eastern Abnaki,,,I,E
aar,aa,aar,aar,Afar,Afaraf,Afro-Asiatic,I,L
aas,,,,Aasáx,,,I,L
aat,,,,Arvanitika Albanian,,,I,L
aau,,,,Abau,,,I,L
aaw,,,,Solong,,,I,L
aax,,,,Mandobo Atas,,,I,L
aaz,,,,Amarasi,,,I,L
aba,,,,Abé,,,I,L
abb,,,,Bankon,,,I,L
abc,,,,Ambala Ayta,,,I,L
abd,,,,Manide,,,I,L
abe,,,,Western Abnaki,,,I,L
abf,,,,Abai Sungai,,,I,L
abg,,,,Abaga,,,I,L
abh,,,,Tajiki Arabic,,,I,L
abi,,,,Abidji,,,I,L
abj,,,,Aka-Bea,,,I,E
abk,ab,abk,abk,Abkhazian,"аҧсуа бызшәа, аҧсшәа",Northwest Caucasian,I,L
abl,,,,Lampung Nyo,,,I,L
abm,,,,Abanyom,,,I,L
abn,,,,Abua,,,I,L
abo,,,,Abon,,,I,L
abp,,,,Abellen Ayta,,,I,L
abq,,,,Abaza,,,I,L
abr,,,,Abron,,,I,L
abs,,,,Ambonese Malay,,,I,L
abt,,,,Ambulas,,,I,L
abu,,,,Abure,,,I,L
abv,,,,Baharna Arabic,,,I,L
abw,,,,Pal,,,I,L
abx,,,,Inabaknon,,,I,L
aby,,,,Aneme Wake,,,I,L
abz,,,,Abui,,,I,L
aca,,,,Achagua,,,I,L
acb,,,,Áncá,,,I,L
acd,,,,Gikyode,,,I,L
ace,,ace,ace,Achinese,,,I,L
acf,,,,Saint Lucian Creole French,,,I,L
ach,,ach,ach,Acoli,,,I,L
aci,,,,Aka-Cari,,,I,E
ack,,,,Aka-Kora,,,I,E
acl,,,,Akar-Bale,,,I,E
acm,,,,Mesopotamian Arabic,,,I,L
acn,,,,Achang,,,I,L
acp,,,,Eastern Acipa,,,I,L
acq,,,,Ta'izzi-Adeni Arabic,,,I,L
acr,,,,Achi,,,I,L
acs,,,,Acroá,,,I,E
act,,,,Achterhoeks,,,I,L
acu,,,,Achuar-Shiwiar,,,I,L
acv,,,,Achumawi,,,I,L
acw,,,,Hijazi Arabic,,,I,L
acx,,,,Omani Arabic,,,I,L
acy,,,,Cypriot Arabic,,,I,L
acz,,,,Acheron,,,I,L
ada,,ada,ada,Adangme,,,I,L
adb,,,,Atauran,,,I,L
add,,,,Lidzonka,,,I,L
ade,,,,Adele,,,I,L
adf,,,,Dhofari Arabic,,,I,L
adg,,,,Andegerebinha,,,I,L
adh,,,,Adhola,,,I,L
adi,,,,Adi,,,I,L
adj,,,,Adioukrou,,,I,L
adl,,,,Galo,,,I,L
adn,,,,Adang,,,I,L
ado,,,,Abu,,,I,L
adq,,,,Adangbe,,,I,L
adr,,,,Adonara,,,I,L
ads,,,,Adamorobe Sign Language,,,I,L
adt,,,,Adnyamathanha,,,I,L
adu,,,,Aduge,,,I,L
adw,,,,Amundava,,,I,L
adx,,,,Amdo Tibetan,,,I,L
ady,,ady,ady,Adyghe,,,I,L
adz,,,,Adzera,,,I,L
aea,,,,Areba,,,I,E
aeb,,,,Tunisian Arabic,,,I,L
aec,,,,Saidi Arabic,,,I,L
aed,,,,Argentine Sign Language,,,I,L
aee,,,,Northeast Pashai,,,I,L
aek,,,,Haeke,,,I,L
ael,,,,Ambele,,,I,L
aem,,,,Arem,,,I,L
aen,,,,Armenian Sign Language,,,I,L
aeq,,,,Aer,,,I,L
aer,,,,Eastern Arrernte,,,I,L
aes,,,,Alsea,,,I,E
aeu,,,,Akeu,,,I,L
aew,,,,Ambakich,,,I,L
aey,,,,Amele,,,I,L
aez,,,,Aeka,,,I,L
afb,,,,Gulf Arabic,,,I,L
afd,,,,Andai,,,I,L
afe,,,,Putukwam,,,I,L
afg,,,,Afghan Sign Language,,,I,L
afh,,afh,afh,Afrihili,,,I,C
afi,,,,Akrukay,,,I,L
afk,,,,Nanubae,,,I,L
afn,,,,Defaka,,,I,L
afo,,,,Eloyi,,,I,L
afp,,,,Tapei,,,I,L
